version,window,train,validation,test
1.0,10.0,0.556670606136322,0.5167597532272339,0.48022598028182983
1.0,20.0,0.5688835978507996,0.49425286054611206,0.5232558250427246
1.0,30.0,0.5698924660682678,0.5414201021194458,0.538922131061554
1.0,40.0,0.559495210647583,0.5060975551605225,0.5246913433074951
1.0,50.0,0.5622732639312744,0.5157232880592346,0.5191082954406738
1.0,60.0,0.5577858686447144,0.49025973677635193,0.5230262875556946
2.0,10.0,0.5608028173446655,0.5335195660591125,0.4858756959438324
2.0,20.0,0.5463182926177979,0.49712643027305603,0.5174418687820435
2.0,30.0,0.5710872411727905,0.5295857787132263,0.544910192489624
2.0,40.0,0.5510817170143127,0.5060975551605225,0.5246913433074951
2.0,50.0,0.5550181269645691,0.5188679099082947,0.5254777073860168
2.0,60.0,0.5541362762451172,0.48376622796058655,0.5263158082962036
3.0,10.0,0.5572609305381775,0.5167597532272339,0.46327683329582214
3.0,20.0,0.5587885975837708,0.5057471394538879,0.5232558250427246
3.0,30.0,0.5657108426094055,0.5502958297729492,0.5209580659866333
3.0,40.0,0.5612980723381042,0.49390244483947754,0.5339506268501282
3.0,50.0,0.5556227564811707,0.5031446814537048,0.5318471193313599
3.0,60.0,0.5571776032447815,0.4935064911842346,0.5230262875556946
4.0,10.0,0.5525383949279785,0.505586564540863,0.48022598028182983
4.0,20.0,0.5433491468429565,0.4683907926082611,0.5145348906517029
4.0,30.0,0.5639187693595886,0.5502958297729492,0.5269461274147034
4.0,40.0,0.5510817170143127,0.48170730471611023,0.5432098507881165
4.0,50.0,0.5586457252502441,0.5220125913619995,0.5318471193313599
4.0,60.0,0.55474454164505,0.4707792103290558,0.5230262875556946
