version,window,train,validation,test
1.0,10.0,0.5495867729187012,0.5,0.49295774102211
1.0,20.0,0.5385985970497131,0.5143678188323975,0.5507246255874634
1.0,30.0,0.5442054867744446,0.5295857787132263,0.5552238821983337
1.0,40.0,0.546875,0.5304877758026123,0.5507692098617554
1.0,50.0,0.5519951581954956,0.5125786066055298,0.5492063760757446
1.0,60.0,0.5535279512405396,0.5032467246055603,0.5278688669204712
2.0,10.0,0.5478157997131348,0.48882681131362915,0.47042253613471985
2.0,20.0,0.536223292350769,0.517241358757019,0.539130449295044
2.0,30.0,0.5561529397964478,0.5177514553070068,0.5044776201248169
2.0,40.0,0.5456730723381042,0.5182926654815674,0.5230769515037537
2.0,50.0,0.5489721894264221,0.5314465165138245,0.5015873312950134
2.0,60.0,0.5468369722366333,0.5162337422370911,0.5147541165351868
3.0,10.0,0.534828782081604,0.48603352904319763,0.47887325286865234
3.0,20.0,0.5356294512748718,0.5201149582862854,0.5420289635658264
3.0,30.0,0.5328554511070251,0.5473372936248779,0.5611940026283264
3.0,40.0,0.5546875,0.5213414430618286,0.5538461804389954
3.0,50.0,0.5477629899978638,0.5220125913619995,0.5587301850318909
3.0,60.0,0.548053503036499,0.5032467246055603,0.5409836173057556
4.0,10.0,0.534828782081604,0.48603352904319763,0.4901408553123474
4.0,20.0,0.5332541465759277,0.5201149582862854,0.5507246255874634
4.0,30.0,0.5352449417114258,0.5088757276535034,0.5194029808044434
4.0,40.0,0.5384615659713745,0.5152438879013062,0.5292307734489441
4.0,50.0,0.5435308218002319,0.5062893033027649,0.5269841551780701
4.0,60.0,0.5462287068367004,0.4935064911842346,0.5180327892303467
