version,window,train,validation,test
1.0,10.0,0.37899863719940186,-0.22394943237304688,-0.7130122184753418
1.0,20.0,0.9860928058624268,-0.3572702407836914,-0.7461569309234619
1.0,30.0,0.9774624109268188,-0.2943289279937744,-0.845768928527832
1.0,40.0,0.9820817708969116,-0.23653268814086914,-0.4567145109176636
1.0,50.0,0.9829452037811279,-0.23313844203948975,-0.3411470651626587
1.0,60.0,0.9788035154342651,-0.20553386211395264,-0.9225146770477295
2.0,10.0,0.3796875476837158,-0.21262192726135254,-0.8379579782485962
2.0,20.0,0.9877280592918396,-0.374586820602417,-0.5779695510864258
2.0,30.0,0.9883779287338257,-0.25651252269744873,-0.43602490425109863
2.0,40.0,0.9856310486793518,-0.234175443649292,-0.43469488620758057
2.0,50.0,0.9773964881896973,-0.056313276290893555,-0.6707936525344849
2.0,60.0,0.9758285880088806,-0.13862216472625732,-0.4505385160446167
3.0,10.0,0.37914055585861206,-0.20389771461486816,-0.8895273208618164
3.0,20.0,0.9849866032600403,-0.22089755535125732,-3.1670737266540527
3.0,30.0,0.9855214953422546,-0.15237104892730713,-0.5152974128723145
3.0,40.0,0.9802737832069397,-0.2431117296218872,-0.8843594789505005
3.0,50.0,0.9880687594413757,-0.11018657684326172,-1.1681020259857178
3.0,60.0,0.9866604208946228,-0.11764097213745117,-0.5542230606079102
4.0,10.0,0.3813502788543701,-0.23786497116088867,-0.688728928565979
4.0,20.0,0.9809184074401855,-0.30380797386169434,-0.8993648290634155
4.0,30.0,0.9864632487297058,-0.27537691593170166,-0.4080404043197632
4.0,40.0,0.9855607748031616,-0.1876370906829834,-1.9815497398376465
4.0,50.0,0.9862375259399414,-0.21871495246887207,-1.6550896167755127
4.0,60.0,0.9858283996582031,-0.23467838764190674,-0.8150284290313721
