version,window,train,validation,test
1.0,10.0,0.34966975450515747,-0.25504398345947266,-0.406734824180603
1.0,20.0,0.9803605675697327,-0.15829265117645264,-0.4195014238357544
1.0,30.0,0.9595213532447815,-0.25750768184661865,-0.6396409273147583
1.0,40.0,0.9789901375770569,-0.1838444471359253,-0.563044548034668
1.0,50.0,0.000737309455871582,-0.006798148155212402,-0.007924914360046387
1.0,60.0,0.8792306780815125,-0.10288739204406738,-0.3593883514404297
2.0,10.0,0.34913283586502075,-0.2157984972000122,-0.4074442386627197
2.0,20.0,0.9757486581802368,-0.3881736993789673,-0.5731819868087769
2.0,30.0,0.9730566143989563,-0.31076765060424805,-0.6213688850402832
2.0,40.0,0.9315345287322998,-0.19656622409820557,-1.496535301208496
2.0,50.0,0.9778933525085449,-0.08920824527740479,-0.41103827953338623
2.0,60.0,0.8440858721733093,-0.21478188037872314,-0.49462103843688965
3.0,10.0,0.34854215383529663,-0.20959103107452393,-0.4323846101760864
3.0,20.0,0.9752218127250671,-0.2657431364059448,-0.49379289150238037
3.0,30.0,0.9829163551330566,-0.29661810398101807,-1.0228471755981445
3.0,40.0,0.9457473754882812,-0.20307862758636475,-1.0750391483306885
3.0,50.0,0.9783135056495667,-0.11037397384643555,-0.3244466781616211
3.0,60.0,0.9644566774368286,-0.1469593048095703,-0.35380637645721436
4.0,10.0,0.34676098823547363,-0.23658835887908936,-0.39397287368774414
4.0,20.0,0.9836870431900024,-0.23049724102020264,-0.5786775350570679
4.0,30.0,0.9423744082450867,-0.24704086780548096,-0.7106277942657471
4.0,40.0,0.9821869730949402,-0.15078234672546387,-0.7077088356018066
4.0,50.0,0.9847291707992554,-0.16316795349121094,-0.6803478002548218
4.0,60.0,0.9845439791679382,-0.18941116333007812,-0.5301303863525391
