version,window,train,validation,test
1.0,10.0,0.7237308146399055,0.5279329608938548,0.5282485875706214
1.0,20.0,0.9631828978622328,0.514367816091954,0.5290697674418605
1.0,30.0,0.9623655913978495,0.46449704142011833,0.4880239520958084
1.0,40.0,0.9314903846153846,0.4817073170731707,0.49691358024691357
1.0,50.0,0.9673518742442564,0.49056603773584906,0.5095541401273885
1.0,60.0,0.8905109489051095,0.5032467532467533,0.4901315789473684
2.0,10.0,0.7278630460448642,0.5502793296089385,0.5028248587570622
2.0,20.0,0.9572446555819477,0.47988505747126436,0.561046511627907
2.0,30.0,0.9330943847072879,0.5798816568047337,0.5359281437125748
2.0,40.0,0.9567307692307693,0.4573170731707317,0.4567901234567901
2.0,50.0,0.9619105199516325,0.44025157232704404,0.5382165605095541
2.0,60.0,0.9051094890510949,0.44805194805194803,0.5296052631578947
3.0,10.0,0.7213695395513577,0.5335195530726257,0.5169491525423728
3.0,20.0,0.9578384798099763,0.5402298850574713,0.5116279069767442
3.0,30.0,0.9175627240143369,0.5029585798816568,0.5299401197604791
3.0,40.0,0.953125,0.49390243902439024,0.5216049382716049
3.0,50.0,0.9480048367593712,0.4811320754716981,0.5159235668789809
3.0,60.0,0.9519464720194647,0.4512987012987013,0.4440789473684211
4.0,10.0,0.718417945690673,0.5223463687150838,0.5310734463276836
4.0,20.0,0.9465558194774347,0.4942528735632184,0.5203488372093024
4.0,30.0,0.937873357228196,0.4437869822485207,0.5269461077844312
4.0,40.0,0.9555288461538461,0.47560975609756095,0.5030864197530864
4.0,50.0,0.937726723095526,0.5628930817610063,0.5286624203821656
4.0,60.0,0.9452554744525548,0.5357142857142857,0.5361842105263158
