version,window,train,validation,test
1.0,10.0,7.565578937530518,14.948135375976562,9.99351978302002
1.0,20.0,1.4434758424758911,14.59792709350586,10.070206642150879
1.0,30.0,2.2608025074005127,14.506756782531738,10.772835731506348
1.0,40.0,1.6059281826019287,14.970755577087402,10.722111701965332
1.0,50.0,9.545829772949219,13.37954044342041,8.281465530395508
1.0,60.0,3.8611466884613037,14.134004592895508,9.593928337097168
2.0,10.0,7.5874786376953125,14.907806396484375,9.980470657348633
2.0,20.0,1.524086356163025,15.726078033447266,10.589484214782715
2.0,30.0,1.8320800065994263,15.366923332214355,10.692063331604004
2.0,40.0,2.904236316680908,15.007579803466797,11.461681365966797
2.0,50.0,1.584484577178955,14.204151153564453,9.51863956451416
2.0,60.0,3.6490185260772705,15.003023147583008,10.181130409240723
3.0,10.0,7.579751491546631,14.761861801147461,10.075606346130371
3.0,20.0,1.451690435409546,15.293663024902344,10.444422721862793
3.0,30.0,1.4582618474960327,15.433271408081055,11.776232719421387
3.0,40.0,2.636613130569458,15.128983497619629,11.152305603027344
3.0,50.0,1.7029682397842407,14.269161224365234,9.370468139648438
3.0,60.0,1.9725408554077148,14.669586181640625,9.572494506835938
4.0,10.0,7.619659900665283,14.86502456665039,9.948480606079102
4.0,20.0,1.4077041149139404,14.839197158813477,10.56187915802002
4.0,30.0,2.625734806060791,14.773154258728027,11.12766170501709
4.0,40.0,1.4278607368469238,14.692574501037598,11.021195411682129
4.0,50.0,1.3948462009429932,14.80828857421875,10.80182933807373
4.0,60.0,1.394822597503662,15.175079345703125,10.141676902770996
